"idcalle","calle","localidad","departamento"
8369,"CALLE UNO","MONTEVIDEO","MONTEVIDEO"
8370,"PASAJE CIENTO SESENTA Y NUEVE","MONTEVIDEO","MONTEVIDEO"
8372,"C BO JESUS MARIA-LA FALDA","MONTEVIDEO","MONTEVIDEO"
8374,"CAMINO EDISON","MONTEVIDEO","MONTEVIDEO"
8375,"CAMINO JOSE DURAN","MONTEVIDEO","MONTEVIDEO"
8376,"CAP MANUEL ANTONIO ARTIGAS","MONTEVIDEO","MONTEVIDEO"
8377,"CNEL JOSE MARIA NAVAJAS","MONTEVIDEO","MONTEVIDEO"
8378,"DIECISIETE METROS","MONTEVIDEO","MONTEVIDEO"
8379,"NUEVO SIGLO","MONTEVIDEO","MONTEVIDEO"
8380,"PASAJE ALELI (BO OCHO DE MARZO)","MONTEVIDEO","MONTEVIDEO"
8381,"PASAJE DIECISIETE METROS","MONTEVIDEO","MONTEVIDEO"
8382,"PASAJE EL HORNERO","MONTEVIDEO","MONTEVIDEO"
8383,"PASAJE LOS CEIBOS (BO OCHO DE MARZO)","MONTEVIDEO","MONTEVIDEO"
8384,"PSJE MARCENARO","MONTEVIDEO","MONTEVIDEO"
8385,"RAMBLA O HIGGINS","MONTEVIDEO","MONTEVIDEO"
8387,"SENDA DOS","MONTEVIDEO","MONTEVIDEO"
8388,"SENDA CUATRO","MONTEVIDEO","MONTEVIDEO"
8389,"SENDA CINCO","MONTEVIDEO","MONTEVIDEO"
8390,"SEND NUEVE","MONTEVIDEO","MONTEVIDEO"
8391,"TRES QUINCE METROS","MONTEVIDEO","MONTEVIDEO"
8392,"URUGUAY CHILE BARRIO VEINTE DE JULIO","MONTEVIDEO","MONTEVIDEO"
8393,"VITORIA","MONTEVIDEO","MONTEVIDEO"
8395,"LAS ESTRELLAS","MONTEVIDEO","MONTEVIDEO"
8396,"LOS GLADIOLOS","MONTEVIDEO","MONTEVIDEO"
8397,"PASAJE INAME (BO OCHO DE MARZO)","MONTEVIDEO","MONTEVIDEO"
8398,"PSJE PESEBRE BO 8 DE MARZO","MONTEVIDEO","MONTEVIDEO"
8399,"PASAJE FROILAN AGUILAR","MONTEVIDEO","MONTEVIDEO"
8400,"PILAR COSTA","MONTEVIDEO","MONTEVIDEO"
8401,"SENDA UNO","MONTEVIDEO","MONTEVIDEO"
8402,"SENDA ONCE","MONTEVIDEO","MONTEVIDEO"
8403,"SENDA TRES","MONTEVIDEO","MONTEVIDEO"
8404,"SENDA OCHO","MONTEVIDEO","MONTEVIDEO"
8405,"DOCTOR TRISTAN NARVAJA","MONTEVIDEO","MONTEVIDEO"
8406,"LADINES","MONTEVIDEO","MONTEVIDEO"
8407,"MARCELINO DIAZ Y GARCIA","MONTEVIDEO","MONTEVIDEO"
8408,"PARALELA PARALELA A RUTA 5","MONTEVIDEO","MONTEVIDEO"
8409,"SENDA SIETE","MONTEVIDEO","MONTEVIDEO"
8411,"SENDA UNO","MONTEVIDEO","MONTEVIDEO"
8412,"SENDA SEIS","MONTEVIDEO","MONTEVIDEO"
8413,"ANGEL SALVO","MONTEVIDEO","MONTEVIDEO"
8414,"FRANCISCO PIRIA","MONTEVIDEO","MONTEVIDEO"
8416,"TEMBETA","MONTEVIDEO","MONTEVIDEO"
8417,"LA QUINTA","MONTEVIDEO","MONTEVIDEO"
8418,"BERNARDO DE GUZMAN","MONTEVIDEO","MONTEVIDEO"
8419,"JOSE B FREIRE","MONTEVIDEO","MONTEVIDEO"
8420,"PASAJE LA VIA","MONTEVIDEO","MONTEVIDEO"
8422,"ISLA PATRULLA","MONTEVIDEO","MONTEVIDEO"
8423,"LAS VIOLETAS","MONTEVIDEO","MONTEVIDEO"
8425,"SENDA CINCO","MONTEVIDEO","MONTEVIDEO"
8426,"JUAN B PANDIANI","MONTEVIDEO","MONTEVIDEO"
8427,"CAMINO ANTIGUO CAMINO COLMAN","MONTEVIDEO","MONTEVIDEO"
8428,"OBREROS","MONTEVIDEO","MONTEVIDEO"
8430,"D BO JESUS MARIA-LA FALDA","MONTEVIDEO","MONTEVIDEO"
8431,"LOS HORNEROS ASENTAMIENTO VEINTICUATRO DE ENE","MONTEVIDEO","MONTEVIDEO"
8432,"QUINCE","MONTEVIDEO","MONTEVIDEO"
8433,"LA MATANZA ASENTAMIENTO 24 DE ENERO","MONTEVIDEO","MONTEVIDEO"
8434,"SENDA TRES","MONTEVIDEO","MONTEVIDEO"
8435,"FLEYTAS","MONTEVIDEO","MONTEVIDEO"
8436,"PASAJE BARRIOS UNIDOS","MONTEVIDEO","MONTEVIDEO"
8438,"PSJE CURUPU","MONTEVIDEO","MONTEVIDEO"
8439,"LOS ORIENTALES","MONTEVIDEO","MONTEVIDEO"
8440,"CAPICUA","MONTEVIDEO","MONTEVIDEO"
8441,"PASAJE JOSE LUIS PANIZZA","MONTEVIDEO","MONTEVIDEO"
8442,"GUAZUNAMBI","SANTIAGO VAZQUEZ","MONTEVIDEO"
8442,"GUAZUNAMBI","MONTEVIDEO","MONTEVIDEO"
8443,"CAMINO CASTRO","MONTEVIDEO","MONTEVIDEO"
8444,"EL ZORZAL BO LA CORONA","MONTEVIDEO","MONTEVIDEO"
8445,"ORQUIDEAS","MONTEVIDEO","MONTEVIDEO"
8446,"SENDA ONCE","MONTEVIDEO","MONTEVIDEO"
8449,"SENDA DOS","MONTEVIDEO","MONTEVIDEO"
8450,"SENDA DIEZ","MONTEVIDEO","MONTEVIDEO"
8451,"EL CARDENAL","MONTEVIDEO","MONTEVIDEO"
8452,"LOS ASTROS","MONTEVIDEO","MONTEVIDEO"
8453,"AJEDREZ ASENTAMIENTO VEINTICUATRO DE ENERO","MONTEVIDEO","MONTEVIDEO"
